epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20750.8,0.39174,0.87208,0.83407,1,1,0.995,0.995,0.09319,0.3293,0.77065,0.00199683,0.00066561,0.00199683,0.00066561,0.00199683,0.00066561,0.00199683,0.00066561
2,39659.7,0.17223,0.29216,0.78178,1,1,0.995,0.995,0.07692,0.16967,0.77152,0.00391769,0.0013059,0.00391769,0.0013059,0.00391769,0.0013059,0.00391769,0.0013059
3,57889.9,0.18667,0.24713,0.78423,1,1,0.995,0.995,0.122,0.16344,0.77615,0.00575936,0.00191979,0.00575936,0.00191979,0.00575936,0.00191979,0.00575936,0.00191979
4,75747.9,0.17529,0.20812,0.78667,1,1,0.995,0.995,0.067,0.11935,0.77414,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,93875.4,0.15125,0.17355,0.78648,1,1,0.995,0.995,0.06529,0.10091,0.77088,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,111848,0.14021,0.15243,0.78444,1,1,0.995,0.995,0.06492,0.08984,0.77187,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,129818,0.12785,0.13976,0.7834,1,1,0.995,0.995,0.05274,0.08146,0.77171,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,147669,0.12049,0.12697,0.78266,1,1,0.995,0.995,0.04307,0.06611,0.77073,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,165978,0.11444,0.12029,0.78218,1,1,0.995,0.995,0.04553,0.06355,0.77012,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,183839,0.10915,0.11294,0.78371,1,1,0.995,0.995,0.03669,0.05672,0.76941,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,201544,0.10296,0.10932,0.78039,1,1,0.995,0.995,0.04092,0.05626,0.76948,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,219293,0.0998,0.10698,0.77907,1,1,0.995,0.995,0.03823,0.05903,0.76954,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
